node_id,left_child,right_child,feature,threshold,impurity,n_node_samples,weighted_n_node_samples,value,class
33,-1,-1,-2,-2.0,0.08317580340264652,46,46.0,"[0.043478260869565216, 0.9565217391304348]",1
34,-1,-1,-2,-2.0,0.4398167430237401,49,49.0,"[0.32653061224489793, 0.673469387755102]",1
35,36,51,51,-0.0004242465511197224,0.4998632964732025,28710147,28710147.0,"[0.49173248747211223, 0.5082675125278878]",1
36,37,44,32,0.0008918464300222695,0.4976273313461308,32256,32256.0,"[0.46555679563492064, 0.5344432043650794]",1
37,38,41,34,-0.0022874929709360003,0.49862693739453867,22613,22613.0,"[0.47379825763941097, 0.526201742360589]",1
38,39,40,48,0.00017298034072155133,0.48347107438016534,286,286.0,"[0.5909090909090909, 0.4090909090909091]",0
39,-1,-1,-2,-2.0,0.1840894148586456,39,39.0,"[0.8974358974358975, 0.10256410256410256]",0
40,-1,-1,-2,-2.0,0.49638577914733895,247,247.0,"[0.5425101214574899, 0.4574898785425101]",0
41,42,43,47,-0.00232951866928488,0.49846521106737274,22327,22327.0,"[0.4722981143906481, 0.5277018856093519]",1
42,-1,-1,-2,-2.0,0.4837829338963635,844,844.0,"[0.4099526066350711, 0.590047393364929]",1
43,-1,-1,-2,-2.0,0.4987246199367411,21483,21483.0,"[0.47474747474747475, 0.5252525252525253]",1
44,45,48,40,0.0033433748176321387,0.49421766587015414,9643,9643.0,"[0.4462304262159079, 0.5537695737840921]",1
45,46,47,28,0.0029393351869657636,0.4928652887962818,8949,8949.0,"[0.4402726561626997, 0.5597273438373003]",1
46,-1,-1,-2,-2.0,0.49230891546229405,8845,8845.0,"[0.43798756359525154, 0.5620124364047484]",1
47,-1,-1,-2,-2.0,0.46375739644970415,104,104.0,"[0.6346153846153846, 0.36538461538461536]",0
48,49,50,48,0.006599705899134278,0.49893695653979353,694,694.0,"[0.5230547550432276, 0.4769452449567723]",0
49,-1,-1,-2,-2.0,0.4998123227338248,671,671.0,"[0.5096870342771982, 0.4903129657228018]",0
50,-1,-1,-2,-2.0,0.1587901701323251,23,23.0,"[0.9130434782608695, 0.08695652173913043]",0
51,52,59,33,0.0033752655144780874,0.4998642683749124,28677891,28677891.0,"[0.4917619290763048, 0.5082380709236952]",1
52,53,56,51,5.780488208984025e-05,0.4998642352528281,28677791,28677791.0,"[0.491760923984696, 0.5082390760153039]",1
53,54,55,9,-1.5191440979833715e-05,0.4998636166123036,28626662,28626662.0,"[0.49174217378191004, 0.50825782621809]",1
54,-1,-1,-2,-2.0,0.49893847830967675,27845,27845.0,"[0.4769617525588077, 0.5230382474411923]",1
55,-1,-1,-2,-2.0,0.49986409154613776,28598817,28598817.0,"[0.49175656461594197, 0.508243435384058]",1
56,57,58,28,-0.0001511190421297215,0.4999897939106357,51129,51129.0,"[0.5022589919615091, 0.49774100803849086]",0
57,-1,-1,-2,-2.0,0.4983975650570316,4840,4840.0,"[0.4716942148760331, 0.528305785123967]",1
58,-1,-1,-2,-2.0,0.4999404890116146,46289,46289.0,"[0.5054548596858865, 0.4945451403141135]",0
59,60,63,56,-0.0018462903099134564,0.34319999999999995,100,100.0,"[0.78, 0.22]",0
60,61,62,5,0.004235161934047937,0.10922075194286918,69,69.0,"[0.9420289855072463, 0.057971014492753624]",0
61,-1,-1,-2,-2.0,0.029843893480257067,66,66.0,"[0.9848484848484849, 0.015151515151515152]",0
62,-1,-1,-2,-2.0,0.0,3,3.0,"[0.0, 1.0]",1
63,64,65,0,0.0037684314884245396,0.48699271592091575,31,31.0,"[0.41935483870967744, 0.5806451612903226]",1
64,-1,-1,-2,-2.0,0.4965277777777778,24,24.0,"[0.5416666666666666, 0.4583333333333333]",0
65,-1,-1,-2,-2.0,0.0,7,7.0,"[0.0, 1.0]",1
