Epoch,Val acc,Best val acc,Best val epoch,Val acc rand,Val loss,Best val loss
2,0.500047382104,0.48773858014,1.0,0.512596187779,5.5916861385472e-08,5.853219199342343e-08
3,0.511852415292,0.500047382104,2.0,0.512596187779,5.524964592421102e-08,5.5916861385472e-08
4,0.487374145681,0.511852415292,3.0,0.512596187779,5.577038933409276e-08,5.524964592421102e-08
5,0.512390771597,0.511852415292,3.0,0.512596187779,5.520510231323497e-08,5.524964592421102e-08
6,0.510662379313,0.512390771597,5.0,0.512596187779,5.520810530183258e-08,5.520510231323497e-08
7,0.487331122168,0.512390771597,5.0,0.512596187779,5.571457717862579e-08,5.520510231323497e-08
8,0.487351368527,0.512390771597,5.0,0.512596187779,5.5612655540084455e-08,5.520510231323497e-08
9,0.487343213744,0.512390771597,5.0,0.512596187779,5.5760624483050136e-08,5.520510231323497e-08
10,0.487391439446,0.512390771597,5.0,0.512596187779,5.6128389635820616e-08,5.520510231323497e-08
11,0.512585502201,0.512390771597,5.0,0.512596187779,5.5169633439693025e-08,5.520510231323497e-08
12,0.5125862052,0.512585502201,11.0,0.512596187779,5.517024182286613e-08,5.5169633439693025e-08
13,0.51260574856,0.5125862052,12.0,0.512596187779,5.51835521674346e-08,5.5169633439693025e-08
14,0.512589579593,0.51260574856,13.0,0.512596187779,5.516852080789263e-08,5.5169633439693025e-08
15,0.512579315814,0.51260574856,13.0,0.512596187779,5.5179589661143844e-08,5.516852080789263e-08
16,0.512602514766,0.51260574856,13.0,0.512596187779,5.51684898940455e-08,5.516852080789263e-08
17,0.512602655366,0.51260574856,13.0,0.512596187779,5.517076586263874e-08,5.51684898940455e-08
18,0.512605045561,0.51260574856,13.0,0.512596187779,5.517045254854425e-08,5.51684898940455e-08
19,0.512647647275,0.51260574856,13.0,0.512596187779,5.517443716436427e-08,5.51684898940455e-08
20,0.51261038835,0.512647647275,19.0,0.512596187779,5.517070440968347e-08,5.51684898940455e-08
21,0.512627541516,0.512647647275,19.0,0.512596187779,5.516849752401045e-08,5.51684898940455e-08
22,0.512590001392,0.512647647275,19.0,0.512596187779,5.5169188958705225e-08,5.51684898940455e-08
23,0.487398188232,0.512647647275,19.0,0.512596187779,5.5203392391945075e-08,5.51684898940455e-08
24,0.512600124571,0.512647647275,19.0,0.512596187779,5.516978182234388e-08,5.51684898940455e-08
25,0.512586626999,0.512647647275,19.0,0.512596187779,5.5169778080274344e-08,5.51684898940455e-08
26,0.512601389969,0.512647647275,19.0,0.512596187779,5.5169009014190676e-08,5.51684898940455e-08
27,0.512594641182,0.512647647275,19.0,0.512596187779,5.516849028175918e-08,5.51684898940455e-08
28,0.51260574856,0.512647647275,19.0,0.512596187779,5.516799723895163e-08,5.51684898940455e-08
29,0.512605186161,0.512647647275,19.0,0.512596187779,5.5168191326605574e-08,5.516799723895163e-08
30,0.512599421573,0.512647647275,19.0,0.512596187779,5.5169052642239623e-08,5.516799723895163e-08
31,0.512599280973,0.512647647275,19.0,0.512596187779,5.516869582643016e-08,5.516799723895163e-08
32,0.512616293538,0.512647647275,19.0,0.512596187779,5.516784887383095e-08,5.516799723895163e-08
33,0.512608279355,0.512647647275,19.0,0.512596187779,5.516860151576986e-08,5.516784887383095e-08
34,0.51260588916,0.512647647275,19.0,0.512596187779,5.516782333492721e-08,5.516784887383095e-08
35,0.512609825952,0.512647647275,19.0,0.512596187779,5.516872812772103e-08,5.516782333492721e-08
36,0.512594078784,0.512647647275,19.0,0.512596187779,5.517280094505652e-08,5.516782333492721e-08
37,0.512602092967,0.512647647275,19.0,0.512596187779,5.516789049547341e-08,5.516782333492721e-08
38,0.512602655366,0.512647647275,19.0,0.512596187779,5.516813343945774e-08,5.516782333492721e-08
39,0.512599280973,0.512647647275,19.0,0.512596187779,5.516844918548498e-08,5.516782333492721e-08
40,0.512595484781,0.512647647275,19.0,0.512596187779,5.516845961740868e-08,5.516782333492721e-08
41,0.512642866884,0.512647647275,19.0,0.512596187779,5.516778385338395e-08,5.516782333492721e-08
42,0.512637102296,0.512647647275,19.0,0.512596187779,5.516823550499044e-08,5.516778385338395e-08
43,0.512640757889,0.512647647275,19.0,0.512596187779,5.5167704050474045e-08,5.516778385338395e-08
44,0.512597031378,0.512647647275,19.0,0.512596187779,5.516802839654386e-08,5.5167704050474045e-08
45,0.512626838517,0.512647647275,19.0,0.512596187779,5.516777209201652e-08,5.5167704050474045e-08
46,0.512634430902,0.512647647275,19.0,0.512596187779,5.5168977748491125e-08,5.5167704050474045e-08
47,0.512636821097,0.512647647275,19.0,0.512596187779,5.51680627860513e-08,5.5167704050474045e-08
48,0.51260574856,0.512647647275,19.0,0.512596187779,5.51679153732495e-08,5.5167704050474045e-08
49,0.512614746942,0.512647647275,19.0,0.512596187779,5.5170032717008725e-08,5.5167704050474045e-08
50,0.512619949131,0.512647647275,19.0,0.512596187779,5.5168241820270374e-08,5.5167704050474045e-08
51,0.512643288684,0.512647647275,19.0,0.512596187779,5.5168370663235864e-08,5.5167704050474045e-08
52,0.512661707246,0.512647647275,19.0,0.512596187779,5.516779886941983e-08,5.5167704050474045e-08
53,0.51262529192,0.512661707246,52.0,0.512596187779,5.516876676444741e-08,5.5167704050474045e-08
54,0.512620933329,0.512661707246,52.0,0.512596187779,5.516861943911321e-08,5.5167704050474045e-08
55,0.512605045561,0.512661707246,52.0,0.512596187779,5.516788072158252e-08,5.5167704050474045e-08
56,0.512601389969,0.512661707246,52.0,0.512596187779,5.516900306721923e-08,5.5167704050474045e-08
