timestamp,port_strat_r,port_bench_r,port_w
2025-01-02 09:59:00-05:00,0.0,0.0,0.0
2025-01-02 10:00:00-05:00,-8.072394012493845e-05,-0.00010729694799905046,0.11841583063853903
2025-01-02 10:01:00-05:00,-8.527527952026136e-05,-0.0005376985526020147,0.13807078032732484
2025-01-02 10:02:00-05:00,1.5091783933584555e-05,0.00018732492837415543,0.12458613991303825
2025-01-02 10:03:00-05:00,-7.864812720852633e-05,-0.00040608402793440286,0.14391039340088232
2025-01-02 10:04:00-05:00,0.0001111842965719474,0.00046685445496022347,0.14391039340088232
2025-01-02 10:05:00-05:00,3.955130161862484e-05,-3.726910751518477e-05,0.1333803646154519
2025-01-02 10:06:00-05:00,-8.219457016767392e-05,-0.00031878272072349,0.14738021394815204
2025-01-02 10:07:00-05:00,-0.00011850890088848962,-0.001008444436604014,0.14738021394815204
2025-01-02 10:08:00-05:00,0.00010203523055072937,0.001034466223656675,0.1355342348391556
2025-01-02 10:09:00-05:00,9.08239104856795e-06,4.439185538911861e-05,0.13002279971586717
2025-01-02 10:10:00-05:00,-4.049732847212158e-05,-6.544647991887523e-05,0.13958813402612552
2025-01-02 10:11:00-05:00,6.463914476005338e-05,0.0004251694146991035,0.1488077075877138
2025-01-02 10:12:00-05:00,-8.4215903937249e-06,-0.00035171291259214276,0.15845507145167503
2025-01-02 10:13:00-05:00,5.1640360777358956e-05,0.00021261099846142792,0.17083561100007724
2025-01-02 10:14:00-05:00,4.786641045750751e-06,9.09429046119521e-05,0.16885875224398125
2025-01-02 10:15:00-05:00,2.5295844295121417e-05,0.00021567915641572164,0.16237208836424538
2025-01-02 10:16:00-05:00,-6.347758753375155e-05,-0.0003448330251341429,0.16188390314001855
2025-01-02 10:17:00-05:00,-9.327973867955884e-05,-0.0006034432521892709,0.15981988949528192
2025-01-02 10:18:00-05:00,1.0593188634746929e-05,0.00013911193574849118,0.15981988949528192
2025-01-02 10:19:00-05:00,-5.260946276192728e-05,-0.0005031097199679096,0.16602883044953087
2025-01-02 10:20:00-05:00,-0.0002723615747677101,-0.0013833259295170455,0.20653196300666216
2025-01-02 10:21:00-05:00,-0.00011514086077197572,-0.0006008202380025172,0.21256714859971618
2025-01-02 10:22:00-05:00,-0.000163140158842473,-0.0007219391229475584,0.2198141033828961
2025-01-02 10:23:00-05:00,5.1545031058487415e-05,0.00018829824111745472,0.20731606113404488
2025-01-02 10:24:00-05:00,-6.530118474484447e-05,-0.00017451395231668433,0.21007775333995118
2025-01-02 10:25:00-05:00,6.963601391192783e-05,0.0004448540337664222,0.21413686029633097
2025-01-02 10:26:00-05:00,8.326758010268061e-05,0.00046619728045402064,0.2048036897425059
2025-01-02 10:27:00-05:00,-8.311993180264557e-05,-0.0005632787018362794,0.20676207119163229
2025-01-02 10:28:00-05:00,-0.00012857399888867383,-0.000558944734885658,0.20989840366881748
2025-01-02 10:29:00-05:00,5.27653101581132e-05,0.0004676641768261368,0.22849421674470957
2025-01-02 10:30:00-05:00,-3.51997360612492e-05,-0.00016855045219348717,0.2109902684556997
2025-01-02 10:31:00-05:00,-0.0001810504604848767,-0.0008668003859580726,0.21240280861588595
2025-01-02 10:32:00-05:00,0.00014771612715320536,0.0007046850041686052,0.22112870919019195
2025-01-02 10:33:00-05:00,1.0342238389723064e-05,-6.888676897002603e-06,0.22777298139391397
2025-01-02 10:34:00-05:00,-5.778614746356367e-06,0.00016410327573888,0.23680454952329388
2025-01-02 10:35:00-05:00,-3.1656845572289145e-05,-0.00022378913139806174,0.2360070449590475
2025-01-02 10:36:00-05:00,0.00014802809949496676,0.0006428018731134201,0.23229839673916466
2025-01-02 10:37:00-05:00,-4.473487826690723e-05,-0.00013044178725558385,0.23807118662708363
2025-01-02 10:38:00-05:00,-3.837802096997117e-05,-0.00013670233236376327,0.2466456520660277
2025-01-02 10:39:00-05:00,-2.582318106571054e-05,-0.00012587771076404236,0.25347223459454804
2025-01-02 10:40:00-05:00,-9.01000452301572e-06,-2.2204947496972404e-05,0.271552877718293
2025-01-02 10:41:00-05:00,-0.00012337759343641197,-0.0008159826312054733,0.28228411834482997
2025-01-02 10:42:00-05:00,6.795222701252547e-05,0.0002480522319932767,0.2959257704421507
2025-01-02 10:43:00-05:00,-4.720090812343691e-06,-0.00015876724877876783,0.2997783565777248
2025-01-02 10:44:00-05:00,2.939346040442641e-05,0.00016151913885430162,0.28744914779147335
2025-01-02 10:45:00-05:00,-3.3565340889385345e-05,-0.00012513632759954233,0.29653018701029915
2025-01-02 10:46:00-05:00,-0.00024353306447419883,-0.0007689202204488825,0.30497730276963736
2025-01-02 10:47:00-05:00,4.322185370762805e-05,7.972268890339031e-05,0.30207251691554643
2025-01-02 10:48:00-05:00,0.0003161717502284825,0.0011657483492826988,0.3111441116030358
2025-01-02 10:49:00-05:00,0.0001685789963994276,0.0007663965481932252,0.30427199886877465
2025-01-02 10:50:00-05:00,4.288606956699514e-05,0.00015099336063567614,0.3541241251547166
2025-01-02 10:51:00-05:00,4.843258237332612e-05,0.000244730165033998,0.3533319512972196
2025-01-02 10:52:00-05:00,-2.4382876750978338e-05,0.00018059797687308698,0.36600205131507924
2025-01-02 10:53:00-05:00,-0.00035410135959145915,-0.0010068164183674201,0.3686276875723082
2025-01-02 10:54:00-05:00,0.00021386803269743946,0.0007893864678558035,0.3764568393523744
2025-01-02 10:55:00-05:00,-9.82843748660396e-05,-0.00031538357948398085,0.3963315158385241
2025-01-02 10:56:00-05:00,-5.040623894752265e-05,-0.00011364997286064382,0.40839996765633463
